Training Epoch: [0][0/22]	Training Loss: 0.037348
Training Epoch: [5][1/22]	Training Loss: 0.017268
Training Epoch: [5][2/22]	Training Loss: 0.018600
Training Epoch: [5][3/22]	Training Loss: 0.017043
Training Epoch: [5][4/22]	Training Loss: 0.021524
Training Epoch: [5][5/22]	Training Loss: 0.019071
Training Epoch: [5][6/22]	Training Loss: 0.019643
Training Epoch: [5][7/22]	Training Loss: 0.018745
Training Epoch: [5][8/22]	Training Loss: 0.018432
Training Epoch: [5][9/22]	Training Loss: 0.016049
Training Epoch: [5][10/22]	Training Loss: 0.018700
Training Epoch: [5][11/22]	Training Loss: 0.020622
Training Epoch: [5][12/22]	Training Loss: 0.021714
Training Epoch: [5][13/22]	Training Loss: 0.015046
Training Epoch: [5][14/22]	Training Loss: 0.018885
Training Epoch: [5][15/22]	Training Loss: 0.019882
Training Epoch: [5][16/22]	Training Loss: 0.018720
Training Epoch: [5][17/22]	Training Loss: 0.016893
Training Epoch: [5][18/22]	Training Loss: 0.014186
Training Epoch: [5][19/22]	Training Loss: 0.011577
Training Epoch: [5][20/22]	Training Loss: 0.014082
Training Epoch: [5][21/22]	Training Loss: 0.013046
Training Epoch: [5][22/22]	Training Loss: 0.012574
Validation Loss: 0.001101 	Validation Acc.: 86.970684
best accuracy: 86.97068403908794
Training Epoch: [6][0/22]	Training Loss: 0.015037
Training Epoch: [6][1/22]	Training Loss: 0.013375
Training Epoch: [6][2/22]	Training Loss: 0.011598
Training Epoch: [6][3/22]	Training Loss: 0.013061
Training Epoch: [6][4/22]	Training Loss: 0.013829
Training Epoch: [6][5/22]	Training Loss: 0.014840
Training Epoch: [6][6/22]	Training Loss: 0.011659
Training Epoch: [6][7/22]	Training Loss: 0.016953
Training Epoch: [6][8/22]	Training Loss: 0.011326
Training Epoch: [6][9/22]	Training Loss: 0.011480
Training Epoch: [6][10/22]	Training Loss: 0.012072
Training Epoch: [6][11/22]	Training Loss: 0.014438
Training Epoch: [6][12/22]	Training Loss: 0.011949
Training Epoch: [6][13/22]	Training Loss: 0.010525
Training Epoch: [6][14/22]	Training Loss: 0.011764
Training Epoch: [6][15/22]	Training Loss: 0.014102
Training Epoch: [6][16/22]	Training Loss: 0.009287
Training Epoch: [6][17/22]	Training Loss: 0.012908
Training Epoch: [6][18/22]	Training Loss: 0.016021
Training Epoch: [6][19/22]	Training Loss: 0.013242
Training Epoch: [6][20/22]	Training Loss: 0.013673
Training Epoch: [6][21/22]	Training Loss: 0.009525
Training Epoch: [6][22/22]	Training Loss: 0.010729
Validation Loss: 0.000899 	Validation Acc.: 87.947883
best accuracy: 87.94788273615636
Training Epoch: [7][0/22]	Training Loss: 0.009140
Training Epoch: [7][1/22]	Training Loss: 0.008002
Training Epoch: [7][2/22]	Training Loss: 0.012692
Training Epoch: [7][3/22]	Training Loss: 0.014392
Training Epoch: [7][4/22]	Training Loss: 0.011001
Training Epoch: [7][5/22]	Training Loss: 0.008750
Training Epoch: [7][6/22]	Training Loss: 0.007695
Training Epoch: [7][7/22]	Training Loss: 0.008441
Training Epoch: [7][8/22]	Training Loss: 0.009424
Training Epoch: [7][9/22]	Training Loss: 0.012997
Training Epoch: [7][10/22]	Training Loss: 0.012124
Training Epoch: [7][11/22]	Training Loss: 0.009644
Training Epoch: [7][12/22]	Training Loss: 0.010736
Training Epoch: [7][13/22]	Training Loss: 0.010332
Training Epoch: [7][14/22]	Training Loss: 0.010120
Training Epoch: [7][15/22]	Training Loss: 0.008705
Training Epoch: [7][16/22]	Training Loss: 0.007261
Training Epoch: [7][17/22]	Training Loss: 0.009079
Training Epoch: [7][18/22]	Training Loss: 0.007316
Training Epoch: [7][19/22]	Training Loss: 0.005764
Training Epoch: [7][20/22]	Training Loss: 0.008374
Training Epoch: [7][21/22]	Training Loss: 0.008383
Training Epoch: [7][22/22]	Training Loss: 0.009770
Validation Loss: 0.000760 	Validation Acc.: 91.205212
best accuracy: 91.20521172638436
Training Epoch: [8][0/22]	Training Loss: 0.007941
Training Epoch: [8][1/22]	Training Loss: 0.008257
Training Epoch: [8][2/22]	Training Loss: 0.005902
Training Epoch: [8][3/22]	Training Loss: 0.007787
Training Epoch: [8][4/22]	Training Loss: 0.008884
Training Epoch: [8][5/22]	Training Loss: 0.008765
Training Epoch: [8][6/22]	Training Loss: 0.009916
Training Epoch: [8][7/22]	Training Loss: 0.004343
Training Epoch: [8][8/22]	Training Loss: 0.006805
Training Epoch: [8][9/22]	Training Loss: 0.006064
Training Epoch: [8][10/22]	Training Loss: 0.005004
Training Epoch: [8][11/22]	Training Loss: 0.007369
Training Epoch: [8][12/22]	Training Loss: 0.008284
Training Epoch: [8][13/22]	Training Loss: 0.004971
Training Epoch: [8][14/22]	Training Loss: 0.008814
Training Epoch: [8][15/22]	Training Loss: 0.006553
Training Epoch: [8][16/22]	Training Loss: 0.008924
Training Epoch: [8][17/22]	Training Loss: 0.007595
Training Epoch: [8][18/22]	Training Loss: 0.007492
Training Epoch: [8][19/22]	Training Loss: 0.011727
Training Epoch: [8][20/22]	Training Loss: 0.007424
Training Epoch: [8][21/22]	Training Loss: 0.006384
Training Epoch: [8][22/22]	Training Loss: 0.004598
Validation Loss: 0.000587 	Validation Acc.: 94.462541
best accuracy: 94.46254071661238
Training Epoch: [9][0/22]	Training Loss: 0.008913
Training Epoch: [9][1/22]	Training Loss: 0.004915
Training Epoch: [9][2/22]	Training Loss: 0.005673
Training Epoch: [9][3/22]	Training Loss: 0.008340
Training Epoch: [9][4/22]	Training Loss: 0.005349
Training Epoch: [9][5/22]	Training Loss: 0.005332
Training Epoch: [9][6/22]	Training Loss: 0.005465
Training Epoch: [9][7/22]	Training Loss: 0.007855
Training Epoch: [9][8/22]	Training Loss: 0.007777
Training Epoch: [9][9/22]	Training Loss: 0.006299
Training Epoch: [9][10/22]	Training Loss: 0.005916
Training Epoch: [9][11/22]	Training Loss: 0.006743
Training Epoch: [9][12/22]	Training Loss: 0.007211
Training Epoch: [9][13/22]	Training Loss: 0.004743
Training Epoch: [9][14/22]	Training Loss: 0.006558
Training Epoch: [9][15/22]	Training Loss: 0.009490
Training Epoch: [9][16/22]	Training Loss: 0.006334
Training Epoch: [9][17/22]	Training Loss: 0.004567
Training Epoch: [9][18/22]	Training Loss: 0.004988
Training Epoch: [9][19/22]	Training Loss: 0.005092
Training Epoch: [9][20/22]	Training Loss: 0.009683
Training Epoch: [9][21/22]	Training Loss: 0.006580
Training Epoch: [9][22/22]	Training Loss: 0.002808
Validation Loss: 0.000639 	Validation Acc.: 94.136808
best accuracy: 94.46254071661238
Training Epoch: [10][0/22]	Training Loss: 0.004551
Training Epoch: [10][1/22]	Training Loss: 0.005788
Training Epoch: [10][2/22]	Training Loss: 0.004411
Training Epoch: [10][3/22]	Training Loss: 0.006123
Training Epoch: [10][4/22]	Training Loss: 0.006359
Training Epoch: [10][5/22]	Training Loss: 0.006390
Training Epoch: [10][6/22]	Training Loss: 0.005661
Training Epoch: [10][7/22]	Training Loss: 0.003815
Training Epoch: [10][8/22]	Training Loss: 0.002964
Training Epoch: [10][9/22]	Training Loss: 0.004373
Training Epoch: [10][10/22]	Training Loss: 0.003385
Training Epoch: [10][11/22]	Training Loss: 0.005344
Training Epoch: [10][12/22]	Training Loss: 0.006568
Training Epoch: [10][13/22]	Training Loss: 0.005134
Training Epoch: [10][14/22]	Training Loss: 0.003657
Training Epoch: [10][15/22]	Training Loss: 0.006755
Training Epoch: [10][16/22]	Training Loss: 0.005598
Training Epoch: [10][17/22]	Training Loss: 0.003364
Training Epoch: [10][18/22]	Training Loss: 0.002966
Training Epoch: [10][19/22]	Training Loss: 0.003873
Training Epoch: [10][20/22]	Training Loss: 0.007657
Training Epoch: [10][21/22]	Training Loss: 0.004283
Training Epoch: [10][22/22]	Training Loss: 0.008573
Validation Loss: 0.000568 	Validation Acc.: 96.091205
best accuracy: 96.09120521172639
Training Epoch: [11][0/22]	Training Loss: 0.002928
Training Epoch: [11][1/22]	Training Loss: 0.005604
Training Epoch: [11][2/22]	Training Loss: 0.006092
Training Epoch: [11][3/22]	Training Loss: 0.004274
Training Epoch: [11][4/22]	Training Loss: 0.005831
Training Epoch: [11][5/22]	Training Loss: 0.004859
Training Epoch: [11][6/22]	Training Loss: 0.004617
Training Epoch: [11][7/22]	Training Loss: 0.003833
Training Epoch: [11][8/22]	Training Loss: 0.004645
Training Epoch: [11][9/22]	Training Loss: 0.006149
Training Epoch: [11][10/22]	Training Loss: 0.005522
Training Epoch: [11][11/22]	Training Loss: 0.005890
Training Epoch: [11][12/22]	Training Loss: 0.008649
Training Epoch: [11][13/22]	Training Loss: 0.009141
Training Epoch: [11][14/22]	Training Loss: 0.002270
Training Epoch: [11][15/22]	Training Loss: 0.007677
Training Epoch: [11][16/22]	Training Loss: 0.010609
Training Epoch: [11][17/22]	Training Loss: 0.006965
Training Epoch: [11][18/22]	Training Loss: 0.002954
Training Epoch: [11][19/22]	Training Loss: 0.003420
Training Epoch: [11][20/22]	Training Loss: 0.004968
Training Epoch: [11][21/22]	Training Loss: 0.006973
Training Epoch: [11][22/22]	Training Loss: 0.003494
Validation Loss: 0.000689 	Validation Acc.: 95.114007
best accuracy: 96.09120521172639
Training Epoch: [12][0/22]	Training Loss: 0.004360
Training Epoch: [12][1/22]	Training Loss: 0.004871
Training Epoch: [12][2/22]	Training Loss: 0.003138
Training Epoch: [12][3/22]	Training Loss: 0.003404
Training Epoch: [12][4/22]	Training Loss: 0.004898
Training Epoch: [12][5/22]	Training Loss: 0.004908
Training Epoch: [12][6/22]	Training Loss: 0.005339
Training Epoch: [12][7/22]	Training Loss: 0.005104
Training Epoch: [12][8/22]	Training Loss: 0.004718
Training Epoch: [12][9/22]	Training Loss: 0.005084
Training Epoch: [12][10/22]	Training Loss: 0.003502
Training Epoch: [12][11/22]	Training Loss: 0.003541
Training Epoch: [12][12/22]	Training Loss: 0.015589
Training Epoch: [12][13/22]	Training Loss: 0.005210
Training Epoch: [12][14/22]	Training Loss: 0.003517
Training Epoch: [12][15/22]	Training Loss: 0.019268
Training Epoch: [12][16/22]	Training Loss: 0.002466
Training Epoch: [12][17/22]	Training Loss: 0.006098
Training Epoch: [12][18/22]	Training Loss: 0.009502
Training Epoch: [12][19/22]	Training Loss: 0.005048
Training Epoch: [12][20/22]	Training Loss: 0.004559
Training Epoch: [12][21/22]	Training Loss: 0.004676
Training Epoch: [12][22/22]	Training Loss: 0.003121
Validation Loss: 0.000961 	Validation Acc.: 93.159609
best accuracy: 96.09120521172639
Training Epoch: [13][0/22]	Training Loss: 0.003399
Training Epoch: [13][1/22]	Training Loss: 0.007297
Training Epoch: [13][2/22]	Training Loss: 0.010810
Training Epoch: [13][3/22]	Training Loss: 0.002467
Training Epoch: [13][4/22]	Training Loss: 0.004432
Training Epoch: [13][5/22]	Training Loss: 0.004961
Training Epoch: [13][6/22]	Training Loss: 0.023034
Training Epoch: [13][7/22]	Training Loss: 0.006141
Training Epoch: [13][8/22]	Training Loss: 0.003546
Training Epoch: [13][9/22]	Training Loss: 0.014264
Training Epoch: [13][10/22]	Training Loss: 0.005853
Training Epoch: [13][11/22]	Training Loss: 0.007769
Training Epoch: [13][12/22]	Training Loss: 0.002801
Training Epoch: [13][13/22]	Training Loss: 0.004902
Training Epoch: [13][14/22]	Training Loss: 0.027496
Training Epoch: [13][15/22]	Training Loss: 0.010171
Training Epoch: [13][16/22]	Training Loss: 0.004990
Training Epoch: [13][17/22]	Training Loss: 0.021938
Training Epoch: [13][18/22]	Training Loss: 0.003742
Training Epoch: [13][19/22]	Training Loss: 0.004455
Training Epoch: [13][20/22]	Training Loss: 0.007153
Training Epoch: [13][21/22]	Training Loss: 0.008256
Training Epoch: [13][22/22]	Training Loss: 0.006050
Validation Loss: 0.000577 	Validation Acc.: 95.114007
best accuracy: 96.09120521172639
Training Epoch: [14][0/22]	Training Loss: 0.005425
Training Epoch: [14][1/22]	Training Loss: 0.001341
Training Epoch: [14][2/22]	Training Loss: 0.005264
Training Epoch: [14][3/22]	Training Loss: 0.010965
Training Epoch: [14][4/22]	Training Loss: 0.011022
Training Epoch: [14][5/22]	Training Loss: 0.004573
Training Epoch: [14][6/22]	Training Loss: 0.004416
Training Epoch: [14][7/22]	Training Loss: 0.009793
Training Epoch: [14][8/22]	Training Loss: 0.006703
Training Epoch: [14][9/22]	Training Loss: 0.005394
Training Epoch: [14][10/22]	Training Loss: 0.004829
Training Epoch: [14][11/22]	Training Loss: 0.010066
Training Epoch: [14][12/22]	Training Loss: 0.002900
Training Epoch: [14][13/22]	Training Loss: 0.004720
Training Epoch: [14][14/22]	Training Loss: 0.001923
Training Epoch: [14][15/22]	Training Loss: 0.005341
Training Epoch: [14][16/22]	Training Loss: 0.009291
Training Epoch: [14][17/22]	Training Loss: 0.003798
Training Epoch: [14][18/22]	Training Loss: 0.003667
Training Epoch: [14][19/22]	Training Loss: 0.003809
Training Epoch: [14][20/22]	Training Loss: 0.006339
Training Epoch: [14][21/22]	Training Loss: 0.007107
Training Epoch: [14][22/22]	Training Loss: 0.009298
Validation Loss: 0.000803 	Validation Acc.: 93.811075
best accuracy: 96.09120521172639
Training Epoch: [15][0/22]	Training Loss: 0.003626
Training Epoch: [15][1/22]	Training Loss: 0.006697
Training Epoch: [15][2/22]	Training Loss: 0.013843
Training Epoch: [15][3/22]	Training Loss: 0.004963
Training Epoch: [15][4/22]	Training Loss: 0.005102
Training Epoch: [15][5/22]	Training Loss: 0.007119
Training Epoch: [15][6/22]	Training Loss: 0.020525
Training Epoch: [15][7/22]	Training Loss: 0.004066
Training Epoch: [15][8/22]	Training Loss: 0.004945
Training Epoch: [15][9/22]	Training Loss: 0.003357
Training Epoch: [15][10/22]	Training Loss: 0.008378
Training Epoch: [15][11/22]	Training Loss: 0.010170
Training Epoch: [15][12/22]	Training Loss: 0.003670
Training Epoch: [15][13/22]	Training Loss: 0.007988
Training Epoch: [15][14/22]	Training Loss: 0.007467
Training Epoch: [15][15/22]	Training Loss: 0.013742
Training Epoch: [15][16/22]	Training Loss: 0.005175
Training Epoch: [15][17/22]	Training Loss: 0.003688
Training Epoch: [15][18/22]	Training Loss: 0.006247
Training Epoch: [15][19/22]	Training Loss: 0.006188
Training Epoch: [15][20/22]	Training Loss: 0.006450
Training Epoch: [15][21/22]	Training Loss: 0.018046
Training Epoch: [15][22/22]	Training Loss: 0.004681
Validation Loss: 0.000552 	Validation Acc.: 96.742671
best accuracy: 96.74267100977198
Training Epoch: [16][0/22]	Training Loss: 0.003682
Training Epoch: [16][1/22]	Training Loss: 0.007406
Training Epoch: [16][2/22]	Training Loss: 0.009786
Training Epoch: [16][3/22]	Training Loss: 0.017385
Training Epoch: [16][4/22]	Training Loss: 0.008878
Training Epoch: [16][5/22]	Training Loss: 0.007814
Training Epoch: [16][6/22]	Training Loss: 0.006998
Training Epoch: [16][7/22]	Training Loss: 0.002476
Training Epoch: [16][8/22]	Training Loss: 0.009506
Training Epoch: [16][9/22]	Training Loss: 0.015050
Training Epoch: [16][10/22]	Training Loss: 0.005015
Training Epoch: [16][11/22]	Training Loss: 0.003075
Training Epoch: [16][12/22]	Training Loss: 0.002898
Training Epoch: [16][13/22]	Training Loss: 0.006055
Training Epoch: [16][14/22]	Training Loss: 0.018945
Training Epoch: [16][15/22]	Training Loss: 0.010078
Training Epoch: [16][16/22]	Training Loss: 0.009989
Training Epoch: [16][17/22]	Training Loss: 0.006456
Training Epoch: [16][18/22]	Training Loss: 0.006402
Training Epoch: [16][19/22]	Training Loss: 0.005490
Training Epoch: [16][20/22]	Training Loss: 0.012959
Training Epoch: [16][21/22]	Training Loss: 0.011368
Training Epoch: [16][22/22]	Training Loss: 0.004980
Validation Loss: 0.000625 	Validation Acc.: 96.091205
best accuracy: 96.74267100977198
Training Epoch: [17][0/22]	Training Loss: 0.003348
Training Epoch: [17][1/22]	Training Loss: 0.003238
Training Epoch: [17][2/22]	Training Loss: 0.005007
Training Epoch: [17][3/22]	Training Loss: 0.005738
Training Epoch: [17][4/22]	Training Loss: 0.008098
Training Epoch: [17][5/22]	Training Loss: 0.006054
Training Epoch: [17][6/22]	Training Loss: 0.011194
Training Epoch: [17][7/22]	Training Loss: 0.004126
Training Epoch: [17][8/22]	Training Loss: 0.005755
Training Epoch: [17][9/22]	Training Loss: 0.003258
Training Epoch: [17][10/22]	Training Loss: 0.002551
Training Epoch: [17][11/22]	Training Loss: 0.003621
Training Epoch: [17][12/22]	Training Loss: 0.004948
Training Epoch: [17][13/22]	Training Loss: 0.011766
Training Epoch: [17][14/22]	Training Loss: 0.011631
Training Epoch: [17][15/22]	Training Loss: 0.002952
Training Epoch: [17][16/22]	Training Loss: 0.003917
Training Epoch: [17][17/22]	Training Loss: 0.003621
Training Epoch: [17][18/22]	Training Loss: 0.004938
Training Epoch: [17][19/22]	Training Loss: 0.018427
Training Epoch: [17][20/22]	Training Loss: 0.005729
Training Epoch: [17][21/22]	Training Loss: 0.008301
Training Epoch: [17][22/22]	Training Loss: 0.003482
Validation Loss: 0.000570 	Validation Acc.: 95.439739
best accuracy: 96.74267100977198
Training Epoch: [18][0/22]	Training Loss: 0.003151
Training Epoch: [18][1/22]	Training Loss: 0.005131
Training Epoch: [18][2/22]	Training Loss: 0.007732
Training Epoch: [18][3/22]	Training Loss: 0.006973
Training Epoch: [18][4/22]	Training Loss: 0.013792
Training Epoch: [18][5/22]	Training Loss: 0.005371
Training Epoch: [18][6/22]	Training Loss: 0.003031
Training Epoch: [18][7/22]	Training Loss: 0.003587
Training Epoch: [18][8/22]	Training Loss: 0.010082
Training Epoch: [18][9/22]	Training Loss: 0.009846
Training Epoch: [18][10/22]	Training Loss: 0.005314
Training Epoch: [18][11/22]	Training Loss: 0.003891
Training Epoch: [18][12/22]	Training Loss: 0.003402
Training Epoch: [18][13/22]	Training Loss: 0.004939
Training Epoch: [18][14/22]	Training Loss: 0.004743
Training Epoch: [18][15/22]	Training Loss: 0.004649
Training Epoch: [18][16/22]	Training Loss: 0.016354
Training Epoch: [18][17/22]	Training Loss: 0.008807
Training Epoch: [18][18/22]	Training Loss: 0.003922
Training Epoch: [18][19/22]	Training Loss: 0.002333
Training Epoch: [18][20/22]	Training Loss: 0.004857
Training Epoch: [18][21/22]	Training Loss: 0.002968
Training Epoch: [18][22/22]	Training Loss: 0.003700
Validation Loss: 0.000504 	Validation Acc.: 97.394137
best accuracy: 97.39413680781759
Training Epoch: [19][0/22]	Training Loss: 0.004102
Training Epoch: [19][1/22]	Training Loss: 0.004179
Training Epoch: [19][2/22]	Training Loss: 0.004678
Training Epoch: [19][3/22]	Training Loss: 0.006664
Training Epoch: [19][4/22]	Training Loss: 0.004875
Training Epoch: [19][5/22]	Training Loss: 0.003486
Training Epoch: [19][6/22]	Training Loss: 0.002406
Training Epoch: [19][7/22]	Training Loss: 0.005663
Training Epoch: [19][8/22]	Training Loss: 0.003594
Training Epoch: [19][9/22]	Training Loss: 0.003031
Training Epoch: [19][10/22]	Training Loss: 0.003982
Training Epoch: [19][11/22]	Training Loss: 0.005202
Training Epoch: [19][12/22]	Training Loss: 0.008092
Training Epoch: [19][13/22]	Training Loss: 0.003156
Training Epoch: [19][14/22]	Training Loss: 0.004373
Training Epoch: [19][15/22]	Training Loss: 0.003675
Training Epoch: [19][16/22]	Training Loss: 0.006681
Training Epoch: [19][17/22]	Training Loss: 0.003811
Training Epoch: [19][18/22]	Training Loss: 0.003015
Training Epoch: [19][19/22]	Training Loss: 0.001952
Training Epoch: [19][20/22]	Training Loss: 0.001359
Training Epoch: [19][21/22]	Training Loss: 0.001342
Training Epoch: [19][22/22]	Training Loss: 0.003501
Validation Loss: 0.000437 	Validation Acc.: 98.371336
best accuracy: 98.37133550488599
Training Epoch: [20][0/22]	Training Loss: 0.003018
Training Epoch: [20][1/22]	Training Loss: 0.004497
Training Epoch: [20][2/22]	Training Loss: 0.003120
Training Epoch: [20][3/22]	Training Loss: 0.004085
Training Epoch: [20][4/22]	Training Loss: 0.004900
Training Epoch: [20][5/22]	Training Loss: 0.002612
Training Epoch: [20][6/22]	Training Loss: 0.002408
Training Epoch: [20][7/22]	Training Loss: 0.003140
Training Epoch: [20][8/22]	Training Loss: 0.002777
Training Epoch: [20][9/22]	Training Loss: 0.002224
Training Epoch: [20][10/22]	Training Loss: 0.002327
Training Epoch: [20][11/22]	Training Loss: 0.001475
Training Epoch: [20][12/22]	Training Loss: 0.002863
Training Epoch: [20][13/22]	Training Loss: 0.003170
Training Epoch: [20][14/22]	Training Loss: 0.002955
Training Epoch: [20][15/22]	Training Loss: 0.004150
Training Epoch: [20][16/22]	Training Loss: 0.003855
Training Epoch: [20][17/22]	Training Loss: 0.003365
Training Epoch: [20][18/22]	Training Loss: 0.002232
Training Epoch: [20][19/22]	Training Loss: 0.001618
Training Epoch: [20][20/22]	Training Loss: 0.002230
Training Epoch: [20][21/22]	Training Loss: 0.002574
Training Epoch: [20][22/22]	Training Loss: 0.001952
Validation Loss: 0.000439 	Validation Acc.: 99.022801
best accuracy: 99.0228013029316
Training Epoch: [21][0/22]	Training Loss: 0.001542
